email_text,label
Please review the attached document.,ham
Earn ₹31804 weekly from home. Register now.,spam
Your account was selected for a special reward. Verify immediately.,spam
Limited offer! Save 66% on your purchase today.,spam
Free gift card worth ₹95964. Claim before expiry.,spam
The deadline is next Wednesday.,ham
Limited offer! Save 88% on your purchase today.,spam
Congratulations! You have won ₹31909. Claim your prize now.,spam
I have shared the files with you.,ham
Your account was selected for a special reward. Verify immediately.,spam
Your loan of ₹1374 is approved instantly. Apply today.,spam
Looking forward to your reply.,ham
Your loan of ₹21960 is approved instantly. Apply today.,spam
Please confirm once received.,ham
Your account was selected for a special reward. Verify immediately.,spam
Please review the attached document.,ham
Congratulations! You have won ₹50615. Claim your prize now.,spam
Let's schedule the meeting on Wednesday.,ham
Please confirm once received.,ham
I have shared the files with you.,ham
"Hi, can we meet at 2 PM tomorrow?",ham
Earn ₹87294 weekly from home. Register now.,spam
URGENT: Suspicious login detected. Confirm your identity now.,spam
I have shared the files with you.,ham
URGENT: Suspicious login detected. Confirm your identity now.,spam
Please review the attached document.,ham
Free gift card worth ₹50651. Claim before expiry.,spam
Please confirm once received.,ham
Please confirm once received.,ham
I have shared the files with you.,ham
Earn ₹44036 weekly from home. Register now.,spam
Your account was selected for a special reward. Verify immediately.,spam
Final notice: Your account will be suspended. Act now.,spam
Exclusive deal unlocked. Click to access benefits.,spam
Let me know your availability.,ham
URGENT: Suspicious login detected. Confirm your identity now.,spam
Reminder: submit your report by Thursday.,ham
Limited offer!!! Buy now and get 50% discount.,spam
Earn ₹59160 weekly from home. Register now.,spam
The deadline is next Tuesday.,ham
Reminder: submit your report by Wednesday.,ham
Urgent! Your account has been suspended. Verify immediately.,spam
Please confirm once received.,ham
Your loan of ₹83002 is approved instantly. Apply today.,spam
Please review the attached document.,ham
Thank you for your support. Let me know if you need anything.,ham
URGENT: Suspicious login detected. Confirm your identity now.,spam
You received cashback of ₹95510. Withdraw now.,spam
Exclusive deal unlocked. Click to access benefits.,spam
Congratulations! You have won ₹11608. Claim your prize now.,spam
Free gift card worth ₹56172. Claim before expiry.,spam
Reminder: submit your report by Thursday.,ham
Earn ₹56929 weekly from home. Register now.,spam
Let's schedule the meeting on Thursday.,ham
Free gift card worth ₹59193. Claim before expiry.,spam
The deadline is next Wednesday.,ham
You received cashback of ₹1298. Withdraw now.,spam
I have shared the files with you.,ham
URGENT: Suspicious login detected. Confirm your identity now.,spam
You received cashback of ₹13941. Withdraw now.,spam
Your loan of ₹82607 is approved instantly. Apply today.,spam
The deadline is next Tuesday.,ham
Please confirm once received.,ham
Thank you for your support. Let me know if you need anything.,ham
You received cashback of ₹13981. Withdraw now.,spam
Let's schedule the meeting on Tuesday.,ham
Your account was selected for a special reward. Verify immediately.,spam
Let's schedule the meeting on Thursday.,ham
Thanks for your update.,ham
Earn ₹88830 weekly from home. Register now.,spam
You received cashback of ₹87032. Withdraw now.,spam
Earn ₹46336 weekly from home. Register now.,spam
Earn ₹89120 weekly from home. Register now.,spam
Earn ₹21183 weekly from home. Register now.,spam
Earn ₹13557 weekly from home. Register now.,spam
Please confirm once received.,ham
URGENT: Suspicious login detected. Confirm your identity now.,spam
Let's schedule the meeting on Friday.,ham
Please confirm once received.,ham
Limited offer! Save 73% on your purchase today.,spam
"Hi, can we meet at 9 AM tomorrow?",ham
